AddressID,StreetNo,Street,StreetType,City,State,PostCode,Country,UnitNo,NonStdAddress
1,127-129,Falcon,ST,Crows Nest,NSW,2065,AU,,
2,69,Pacific,HWY,Killara,NSW,2071,AU,,
3,57,Railway,PDE,Landsdale,WA,6065,AU,,
4,22,Sandison,WAY,Landsdale,WA,6065,AU,,
5,888,Money,CCT,Essendon,VIC,3065,AU,,
6,60,Walker,ST,North Sydney,NSW,2060,AU,,
7,2,Cherry,AVE,Carlingford,NSW,2118,AU,,
8,30,Lavender,AVE,Kellyville,NSW,2155,AU,,
9,60,Red Gully,RD,Burrell Creek,NSW,2429,AU,,
10,224,Falcon,ST,North Sydney,NSW,2060,AU,,
11,75,Hodgkinson,ST,Clifton Hill,VIC,3068,AU,,
12,6,Linton,PL,Calwell,ACT,2905,AU,,
13,7,Peony,PL,Quakers Hill,NSW,2763,AU,,
14,9,Summer,ST,Orange,NSW,2800,AU,,
15,2A,Harry,ST,Belmont South,NSW,2280,AU,,
16,39,Bondi,ST,TUROSS HEAD,NSW,2537,AU,,
26,5,Falcon,ST,Werribee,VIC,3030,AU,,
27,267-277,Castlereagh,ST,Sydney,NSW,2000,AU,,
28,22,Farness,PL,Yokine,WA,6060,AU,,
29,13,River,RD,Balmain,NSW,2041,AU,11,
30,123,Darling,ST,Balmain,NSW,2041,AU,,
31,163,Carrum,CRS,Yokine,WA,6060,AU,Lot 4,
32,8,Terry,ST,Blakeview,SA,5114,AU,,
33,90,Horace,ST,Bowen Hills,QLD,4006,AU,,
34,116,Sherbrook,RD,Asquith,NSW,2077,AU,,
35,1775,Lilydale,RD,Lilydale,TAS,7268,AU,,
36,9,Willaroo,AVE,Kellyville,NSW,2115,AU,,
37,3,Fino,WAY,Quakers Hill,NSW,2763,AU,,
38,5,Fino,WAY,Quakers Hill,NSW,2764,AU,,
39,84,Phoenix,AVE,Beaumont Hills,NSW,2155,AU,,
40,121,Highs,RD,Pennant Hills,NSW,2125,AU,,
41,51,Carlingord,ST,Bathurst,NSW,2795,AU,,
42,36,Marsdenia,AVE,Marsden Park,NSW,2765,AU,,
43,2,Carlingord,COURT,Australind,WA,6233,AU,,
44,4,Carlingord,COURT,Australind,WA,6233,AU,,
45,1,Flinders,ST,Crystal Brook,SA,5523,AU,,
46,4,Anna,ST,Dimboola,VIC,3414,AU,,
47,123,Walkers,LANE,Avoca,NSW,2577,AU,,
48,22,Pirie,ST,Port Pirie South,SA,5540,AU,,
49,1P/833,Collins,ST,Docklands,VIC,3008,AU,,
50,15,Barossa,AVE,Gawler East,SA,5118,AU,,
51,17,Spencer,COURT,Yarragon,VIC,3823,AU,,
52,18,Bank,ST,North Sydney,NSW,2060,AU,,
53,25,Flinders,AVE,Port Lincoln,SA,5606,AU,,
54,12,Gateway,AVE,Pakenham,VIC,3810,AU,,
55,14,Gateway,AVE,Pakenham,VIC,3810,AU,,
56,16,Gateway,AVE,Pakenham,VIC,3810,AU,,
57,18,Gateway,AVE,Pakenham,VIC,3810,AU,,
58,20,Gateway,AVE,Pakenham,VIC,3810,AU,,
59,70,Pacific,HWY,Killara,NSW,2071,AU,,
60,182,Lilydale,RD,Rocherlea,TAS,7268,AU,,
61,184,Lilydale,RD,Rocherlea,TAS,7268,AU,,
62,248,Woodstock,AVE,WHALAN,NSW,2770,AU,,
63,22,Gateway,AVE,Pakenham,VIC,3810,AU,,
64,24,Gateway,AVE,Pakenham,VIC,3810,AU,,
65,185,Lilydale,RD,Rocherlea,TAS,7268,AU,,
66,186,Lilydale,RD,Rocherlea,TAS,7268,AU,,
67,187,Lilydale,RD,Rocherlea,TAS,7268,AU,,
68,188,Lilydale,RD,Rocherlea,TAS,7268,AU,,
69,189,Lilydale,RD,Rocherlea,TAS,7268,AU,,
70,190,Lilydale,RD,Rocherlea,TAS,7268,AU,,
71,191,Lilydale,RD,Rocherlea,TAS,7268,AU,,
72,192,Lilydale,RD,Rocherlea,TAS,7268,AU,,
73,193,Lilydale,RD,Rocherlea,TAS,7268,AU,,
74,194,Lilydale,RD,Rocherlea,TAS,7268,AU,,
75,195,Lilydale,RD,Rocherlea,TAS,7268,AU,,
76,196,Lilydale,RD,Rocherlea,TAS,7268,AU,,
77,197,Lilydale,RD,Rocherlea,TAS,7268,AU,,
78,198,Lilydale,RD,Rocherlea,TAS,7268,AU,,
79,199,Lilydale,RD,Rocherlea,TAS,7268,AU,,
80,200,Lilydale,RD,Rocherlea,TAS,7268,AU,,
95,87,Redfern,ST,Redfern,NSW,2016,AU,,
96,85,Redfern,ST,Redfern,NSW,2016,AU,,
97,88,Redfern,ST,Redfern,NSW,2016,AU,,
98,,,,,,,,,47 BURELLI STREET WOLLONGONG NSW 2500
99,,,,,,,,,PO BOX 2077 WOLLONGONG DC NSW 2500
100,69,Pacific,HWY,Killara,NSW,2071,AU,,
101,123,Pacific,HWY,Killara,NSW,2071,AU,,
102,,,,,,,,,1 NON STANDARD STREET WOLLONGONG NSW 2500
103,12,Bowen,CRS,West Gosford,NSW,2250,AU,1,
104,10,Malduf,ST,Chinchilla,QLD,4413,AU,,
105,26,Gateway,AVE,Pakenham,VIC,3810,AU,,
106,28,Gateway,AVE,Pakenham,VIC,3810,AU,,
107,30,Gateway,AVE,Pakenham,VIC,3810,AU,,
108,32,Gateway,AVE,Pakenham,VIC,0000,AU,,
109,34,Gateway,AVE,Pakenham,VIC,0000,AU,,
110,36,Gateway,AVE,Pakenham,VIC,0000,AU,,
111,,,,,,,,,123 FAKE STREET WOLLONGONG NSW 2500
112,123,Pacific,HWY,Killara,NSW,2071,AU,,
113,123,Pacific,HWY,Killara,NSW,2071,AU,,
114,38,Gateway,AVE,Pakenham,VIC,0000,AU,,
115,1,High,ST,Kogarah,NSW,2217,AU,,
116,123,Main,ST,Kogarah,NSW,2217,AU,,
117,38,Gateway,AVE,Pakenham,VIC,3810,AU,,
118,40,Gateway,AVE,Pakenham,VIC,3810,AU,,
119,41,Gateway,AVE,Pakenham,VIC,3810,AU,,
120,42,Gateway,AVE,Pakenham,VIC,3810,AU,,
121,43,Gateway,AVE,Pakenham,VIC,3810,AU,,
122,44,Gateway,AVE,Pakenham,VIC,3810,AU,,
123,45,Gateway,AVE,Pakenham,VIC,3810,AU,,
124,46,Gateway,AVE,Pakenham,VIC,3810,AU,,
125,47,Gateway,AVE,Pakenham,VIC,3810,AU,,
126,48,Gateway,AVE,Pakenham,VIC,3810,AU,,
127,49,Gateway,AVE,Pakenham,VIC,3810,AU,,
128,50,Gateway,AVE,Pakenham,VIC,3810,AU,,
129,123,King,ST,Mascot,NSW,2020,AU,,
130,1234,Botany,RD,Botany,NSW,2019,AU,,
131,12,Avoca,ST,Bondi,NSW,2026,AU,,
132,2/78,Church,ST,Gloucester,NSW,2422,AU,,
133,100,Rainbow,ST,Randwick,NSW,2031,AU,,
134,15/25-31,Johnson,ST,Chatswood,NSW,2067,AU,,
135,15,Queen,ST,Croydon,NSW,2132,AU,,
136,12,Famechon,Crescent,Modbury North,SA,5092,AU,,
137,2,Seaton,Terrace,Seaton,SA,5023,AU,,
138,2,Fairfield,Road,Guildford West,NSW,2161,AU,,
139,23,Maple,Road,North St Marys,NSW,2760,AU,,
140,56,Ocean,Street,Pagewood,NSW,2035,AU,,
141,89,Bay,Street,Mosman,NSW,2088,AU,,
142,91,Grey,Street,Carlton,NSW,2218,AU,,
143,30,Sunnynook,Road,Aukland,Sunnynook,0620,NZ,,
144,11,Sherborne,Street,Christchurch,St Albans,8014,NZ,,
145,97,Coronation,Street,Christchurch,Spreydon,8024,NZ,,
147,13,Dan,Street,Marsfield,NSW,2122,AU,,
148,14,Dan,Street,Marsfield,NSW,2122,AU,,
500,1,Treacy,ST,Gunbower,VIC,3566,AU,,
501,3,Dreadnought,AVE,COOLOOLA COVE,QLD,4580,AU,,
502,,,,,,,,,123 NonStdAddress Marsden NSW 2765
503,,,,,,,,,456 FAKE STREET WOLLONGONG NSW 2500
504,,,,,,,,,789 NonStdAddress WOLLONGONG NSW 2500
505,,,,,,,NZ,,789 NonStdAddress Christchurch 8014
506,,,,,,,NZ,,456 Fake Street Christchurch 8014
507,19,Anson,ST,Orange,NSW,2800,AU,,
508,21,Anson,ST,Orange,NSW,2800,AU,,
509,23,Anson,ST,Orange,NSW,2800,AU,,
510,14,Nova,ST,CHRISTCHURCH CENTRAL,CHRISTCHURCH,3702775,NZ,,
511,14,Nova,ST,CHRISTCHURCH CENTRAL,,3702775,NZ,,
512,23,Anson,ST,,NSW,2800,AU,,
513,,,,,,,,,10 NON STANDARD STREET WOLLONGONG NSW 2500
514,,,,,,,NZ,,20 NON STANDARD STREET CHRISTCHURCH 8110
515,,,,,,,NZ,,20 NON STANDARD STREET Wellington 6023
516,,,,,,,NZ,,20 NON STANDARD STREET CHRISTCHURCH 8113
517,224,Clarence,ST,Vogeltown,Wellington,6023,NZ,,
518,123,Main,RD,CHRISTCHURCH CENTRAL,CHRISTCHURCH,8011,NZ,,
519,456,Business,AVE,CHRISTCHURCH CENTRAL,CHRISTCHURCH CENTRAL,8013,NZ,,
555,35,PRINCE EDWARD,AVE,CULBURRA BEACH,NSW,2540,AU,,
