CustomerNumber,RelationshipType,RelatedEntityCustomerNumber,IsSignatory,IsBeneficialOwner,PercentShares
121212,DIRECTOR,589833,Yes,Yes,70
121212,SHARE_HOLDER,665656,No,Yes,20
121212,SHARE_HOLDER,545465,No,Yes,6
121212,SHARE_HOLDER,121213,No,Yes,4
121212,COMPANY_SECRETARY,545422,Yes,No,
121213,DIRECTOR,545423,Yes,Yes,100
121213,COMPANY_SECRETARY,335576,Yes,No,
746513,TRUSTEE,121212,,,
746513,BENEFICIARY,589833,,,100
789132,TRUSTEE,589833,,,
789132,BENEFICIARY,589833,,,50
789132,BENEFICIARY,665656,,,50
1114,DIRECTOR,11990006,Yes,Yes,70
18121201,SHARE_HOLDER,11990002,Yes,Yes,30
18121200,SHARE_HOLDER,5000025,No,Yes,10
